IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP1;IC_GROUP0;IC_GROUP1;IC_GROUP2
7;Аудит бренда;7;Y;;;;;text;;"Это диагностика его ключевых параметров и характеристик для понимания дальнейших путей развития. Прежде всего, он дает ответ на вопрос: что сохранить и что изменить при ребрендинге.

В базовой версии аудита мы анализируем восприятие бренда; целостность его образа в различных точках контакта с потребителем; заметность бренда в конкурентном окружении. Особое внимание мы уделяем анализу фирменного стиля и коммуникаций, поскольку это именно та сфера, в которой нам предстоит работать. По итогам аудита мы даем рекомендации по возможным направлениям развития фирменного стиля бренда.

Если на момент проведения аудита маркетинговая стратегия уже сформирована, мы сопоставляем цели и планы компании с текущим образом бренда.

В расширенных версиях может быть проведен анализ ассортиментного портфеля, пути потребителя, представленности в тех или иных каналах продаж и коммуникаций и т.д. Набор параметров для анализа определяется индивидуально для каждого проекта.";text;;500;;БРЕНДИНГ;;;
8;Тестовая услуга;8;Y;;;;;text;;тестовая усулга;text;;500;;БРЕНДИНГ;;;
9;Сопровождение;9;Y;;;;;text;;"Сопровождение
Сопровождение
Сопровождение
Сопровождение
Сопровождение
Сопровождение
Сопровождение
Сопровождение";text;;500;;МАССОВЫЕ КОММУНИКАЦИИ;;;
10;Аудит ситуации;10;Y;;;;;text;;"Аудит ситуации
Аудит ситуации
Аудит ситуации
Аудит ситуации
Аудит ситуации
Аудит ситуации
Аудит ситуации
Аудит ситуации";text;;500;;DIGITAL БРЕНДИНГ;;;
11;Сайт;11;Y;;;;;text;;"Сайт
Сайт
Сайт
Сайт
Сайт
Сайт
Сайт
Сайт
Сайт
Сайт";text;;500;;ЛИЧНЫЙ БРЕНД;;;
12;Медипланирование;12;Y;;;;;text;;Медипланирование;text;;500;;БРЕНДИНГ;;;
13;Медипланирование 2;13;Y;;;;;text;;Медипланирование 2;text;;500;;БРЕНДИНГ;;;
14;Медипланирование 3;14;Y;;;;;text;;Медипланирование 3;text;;500;;БРЕНДИНГ;;;
15;Медипланирование 4;15;Y;;;;;text;;Медипланирование 4;text;;500;;БРЕНДИНГ;;;
16;Разработка уникального контента;16;Y;;;;;text;;Разработка уникального контента;text;;500;;DIGITAL БРЕНДИНГ;;;
17;Разработка уникального контента 2;17;Y;;;;;text;;Разработка уникального контента;text;;500;;DIGITAL БРЕНДИНГ;;;
18;Дизайн;18;Y;;;;;text;;Дизайн;text;;500;;МАССОВЫЕ КОММУНИКАЦИИ;;;
19;Дизайн 2;19;Y;;;;;text;;Дизайн 2;text;;500;;МАССОВЫЕ КОММУНИКАЦИИ;;;
